Player Name,Team,Position,GP,PTS,AST,TRB,Salary_M,Points_per_Million,Value_Score,PER
Stephen Curry,GSW,PG,56,29.4,6.3,6.1,48.070014,0.6116078934364363,0.8695649641375182,24.1
John Wall,LAC,PG,34,11.4,5.2,2.7,47.34576,0.24078185670691526,0.4076394591617074,13.6
Russell Westbrook,LAL/LAC,PG,73,15.9,7.5,5.8,47.080179,0.3377217406076557,0.6202185424995941,16.1
LeBron James,LAL,PF,55,28.9,6.8,8.3,44.474988,0.6498034355849629,0.9893201095411199,23.9
Kevin Durant,BRK/PHO,PF,47,29.1,5.0,6.7,44.119845,0.659567140365067,0.9247539287592693,25.9
Bradley Beal,WAS,SG,50,23.2,5.4,3.9,43.27925,0.5360536515766794,0.7509372274242276,19.7
Kawhi Leonard,LAC,SF,52,23.8,3.9,6.5,42.492492,0.5600989464209348,0.8048480658653769,23.9
Paul George,LAC,SF,56,23.8,5.1,6.1,42.492492,0.5600989464209348,0.823674921207257,19.6
Giannis Antetokounmpo,MIL,PF,63,31.1,5.7,11.8,42.492492,0.7318940014155914,1.14373146201922,29.0
Damian Lillard,POR,PG,58,32.2,7.3,4.8,42.492492,0.7577809275106766,1.0425371145566138,26.7
Klay Thompson,GSW,SF,69,21.9,2.4,4.1,40.60008,0.5394078041225534,0.6995060108255944,14.7
Kyrie Irving,BRK/DAL,PG-SG,60,27.1,5.5,5.1,38.917057,0.6963527586374273,0.9687269003922883,22.4
Rudy Gobert,MIN,C,70,13.4,1.2,11.6,38.172414,0.351038841819121,0.6863595265418634,18.9
Khris Middleton,MIL,SF,33,15.1,4.9,4.2,37.984276,0.39753291598871066,0.6371057329090595,17.4
Anthony Davis,LAL,C,56,25.9,2.6,12.5,37.98072,0.681924934545738,1.0794950701303188,27.8
Jimmy Butler,MIA,PF,64,22.9,5.3,5.9,37.6533,0.6081804250889031,0.9056311133419913,27.6
Tobias Harris,PHI,SF,74,14.7,2.5,5.7,37.63305,0.3906141011690522,0.6085076814130133,14.8
Trae Young,ATL,PG,73,26.2,10.2,3.0,37.0965,0.7062660897928376,1.0620948067877023,22.0
Zach LaVine,CHI,SG,77,24.8,4.2,4.5,37.0965,0.6685266804145944,0.9030501529793916,19.0
