Team,total_payroll,avg_salary,avg_points,avg_value,player_count
ATL,122.474941,11.134085545454546,10.818181818181818,3.0353106347497825,11
BOS,170.512472,12.179462285714285,10.235714285714286,2.3254999135662717,14
BOS/OKC,3.5,3.5,6.1,2.8857142857142857,1
BRK,79.972172,9.9965215,7.5625,3.1280640881077972,8
BRK/DAL,74.262756,18.565689,14.125,1.4493973079336793,4
BRK/LAC,0.824041,0.824041,4.3,10.072314362998927,1
BRK/PHO,70.107744,23.369248,21.566666666666666,2.0034492230530923,3
BRK/SAC,1.637966,1.637966,2.8,3.113617742981234,1
CHI,98.38645,10.931827777777777,10.755555555555555,2.9451380729982577,9
CHI/IND,1.703902,1.703902,2.9,2.7583746013561807,1
CHO,75.98575,8.44286111111111,10.488888888888889,3.7523697216653895,9
CLE,117.021721,9.001670846153846,10.130769230769232,2.9101250630560744,13
CLE/MIA,30.556968,30.556968,8.2,0.5399750394083601,1
DAL,57.992277,6.443586333333333,7.111111111111111,3.137255719516498,9
DAL/ATL,5.987975,5.987975,4.5,1.1022090105586615,1
DEN,95.67933000000001,10.631036666666667,9.411111111111111,2.029257571883163,9
DEN/LAC,13.658737,6.8293685,11.0,4.614261189358695,2
DEN/LAL,3.870308,1.935154,5.95,5.116130394537162,2
DET,44.877763,4.986418111111111,9.822222222222223,3.8648330934107977,9
DET/ATL,2.95908,2.95908,13.8,6.758857482731119,1
DET/OKC,1.013119,1.013119,7.0,10.364034234872705,1
DET/POR,3.0,3.0,6.6,3.2999999999999994,1
GSW,187.598557,15.633213083333333,12.366666666666667,3.473125369460346,12
GSW/DET,9.60336,9.60336,10.0,1.728561670082138,1
GSW/POR,8.3,8.3,4.6,1.0963855421686746,1
HOU,26.273055,4.3788425,8.883333333333335,3.656838377605254,6
HOU/ATL,7.180881,2.393627,3.733333333333333,2.7720185261003376,3
HOU/LAC,19.56836,19.56836,12.4,0.8687493484379888,1
IND,86.152259,8.6152259,12.24,4.185275020267496,10
LAC,212.918669,21.2918669,12.23,1.712578689160263,10
LAC/CHO,9.080417,9.080417,10.8,2.5108979025963234,1
LAC/MEM,13.745455,13.745455,9.3,0.9821428246645891,1
LAL,86.915727,17.3831454,15.279999999999998,5.042323928715075,5
LAL/CHI,13.801614,13.801614,6.2,0.9274277631587147,1
LAL/LAC,47.080179,47.080179,15.9,0.6202185424995941,1
LAL/MIN,32.183847,16.0919235,10.700000000000001,3.4695776311072435,2
LAL/ORL,10.3,10.3,6.6,1.174757281553398,1
LAL/UTA,24.363698,6.0909245,6.775,2.837497967455689,4
LAL/WAS,11.513188,5.756594,9.149999999999999,2.2775846665278054,2
MEM,76.648388,6.968035272727272,10.327272727272728,3.848711348025648,11
MIA,139.961577,12.723779727272728,11.845454545454546,5.188567563132593,11
MIL,173.973778,14.497814833333335,11.525,1.8359065965631245,12
MIL/IND,6.8,3.4,6.85,3.6142857142857148,2
MIN,114.351721,8.79628623076923,10.315384615384614,4.967451173569545,13
MIN/UTA,27.689633,13.8448165,9.05,1.437711511087395,2
NOP,99.332001,12.416500125,12.5625,3.259582940065774,8
NOP/SAS,12.196094,12.196094,10.1,1.2708986992064837,1
NYK,133.959909,11.16332575,11.108333333333334,3.0637476884099004,12
NYK/POR,20.750544,6.916848000000001,6.933333333333334,1.8940513926545133,3
OKC,79.414412,6.108800923076923,10.669230769230769,4.615189268821781,13
OKC/PHO,4.264628,4.264628,5.2,2.1807294798045693,1
ORL,67.248271,5.604022583333333,10.016666666666667,5.094616858698717,12
ORL/IND,5.37752,5.37752,4.4,1.6736339427840343,1
ORL/PHO,11.5,11.5,8.3,1.0608695652173914,1
PHI,129.935529,12.993552900000001,12.940000000000001,3.486605383009105,10
PHI/CHO,1.930681,1.930681,9.4,7.924664923930986,1
PHI/MIA,8.283688,8.283688,5.2,1.1347602662002723,1
PHI/PHO,2.26664,2.26664,6.0,4.63240744008753,1
PHI/POR,4.379526,4.379526,4.1,1.5526794452185007,1
PHO,122.339923,12.2339923,11.25,3.2855644287182386,10
POR,107.281504,10.7281504,11.97,3.673917579392858,10
SAC,134.82769100000002,9.630549357142858,9.457142857142857,1.9897398433487243,14
SAS,62.721936,4.1814624,9.426666666666668,5.503602402311949,15
SAS/MIL,1.116112,1.116112,6.1,10.572415671545508,1
SAS/TOR,9.398148,9.398148,12.5,2.5856158043052733,1
TOR,117.616204,9.801350333333334,9.625,3.0990959727931,12
UTA,88.759601,8.069054636363637,11.745454545454544,4.499233008410879,11
WAS,94.441276,8.585570545454546,10.045454545454545,3.6531671540766926,11
WAS/TOR,15.059712,15.059712,6.8,0.7437061213388411,1
