Player Name,Team,Position,Salary_M,PTS,AST,TRB,Value_Score
Kris Dunn,UTA,PG,1.000001,13.2,5.6,4.5,23.2999767000233
Orlando Robinson,MIA,C,0.386055,3.7,0.8,4.1,22.276618616518373
Luka Garza,MIN,C,0.508891,6.5,0.6,2.3,18.471539091868394
Anthony Lamb,GSW,SF,0.694878,6.7,1.5,3.5,16.83748801947968
Dominick Barlow,SAS,PF,0.508891,3.9,0.9,3.6,16.50648174166963
Desmond Bane,MEM,SG,2.13024,21.5,4.4,5.0,14.505407841369985
Kevon Harris,ORL,SG,0.508891,4.1,0.5,2.1,13.165884246331728
Tre Jones,SAS,PG,1.782621,12.9,6.6,3.6,12.958447140474616
Austin Reaves,LAL,SG,1.563518,13.0,3.4,3.0,12.407915994571216
Jaden Hardy,DAL,SG,1.017781,8.8,1.4,1.9,11.888608649601437
Trent Forrest,ATL,SG,0.508891,2.3,1.7,1.6,11.004321161113086
Sandro Mamukelashvili,SAS/MIL,C,1.116112,6.1,1.4,4.3,10.572415671545508
Eugene Omoruyi,DET/OKC,SF,1.013119,7.0,0.7,2.8,10.364034234872705
Moses Brown,BRK/LAC,C,0.824041,4.3,0.1,3.9,10.072314362998927
Jordan Goodwin,WAS,PG,1.280206,6.6,2.7,3.3,9.842166026405128
Tyrese Maxey,PHI,SG,2.72688,20.3,3.5,2.9,9.791409963034678
Immanuel Quickley,NYK,SG,2.31624,14.9,3.4,4.2,9.714019272614237
Max Strus,MIA,SF,1.815677,11.5,2.1,3.2,9.252747046969258
Jose Alvarado,NOP,PG,1.563518,9.0,3.0,2.3,9.146041171256105
Naz Reid,MIN,C,1.930681,11.5,1.1,4.9,9.064159226718447
